,restaurant,url,category,distance,star,num_reviews
40,Paradise Chicken,https://www.doordash.com/store/969535/?pickup=false,"$$ • Chicken, Burgers",27 min • 0.9 mi,4.4,(126)
41,Heritage Fish & Chips,https://www.doordash.com/store/60224/?pickup=false,"$$ • Fish & Chips, Chicken Wings",29 min • 1.6 mi,4.5,(299)
42,Osmow's,https://www.doordash.com/store/537072/?pickup=false,"$$ • Mediterranean, Shawarma",20 min • 0.8 mi,4.2,"(1,000+)"
43,Maguires Irish Pub,https://www.doordash.com/store/894225/?pickup=false,"$$ • Pubs, Irish",27 min • 1.2 mi,4.3,(39)
44,Ice Flame,https://www.doordash.com/store/1364946/?pickup=false,"$$ • Milk Shakes, Ice Cream",21 min • 0.9 mi,4.6,(136)
45,Subway,https://www.doordash.com/store/455065/?pickup=false,"$ • Wraps, Sandwiches",16 min • 0.8 mi,4.2,(119)
46,Indian Curry Express,https://www.doordash.com/store/787603/?pickup=false,"$$ • Indian, Vegetarian",27 min • 200 ft,4.2,(99)
47,Quik Chik,https://www.doordash.com/store/863993/?pickup=false,"$$ • Chicken, Sandwiches",25 min • 1.7 mi,4.3,(130)
48,Btown Pizza,https://www.doordash.com/store/22919059/?pickup=false,"$$ • Italian, Pizza",25 min • 0.8 mi,4.2,(88)
49,New York Fried Chicken And Burger,https://www.doordash.com/store/541682/?pickup=false,"$$ • Sandwiches, Wraps",27 min • 0.9 mi,4.1,(86)
50,PizzaEdge,https://www.doordash.com/store/348807/?pickup=false,"$$ • Pizza, Chicken Wings",23 min • 1.8 mi,4.0,(132)
51,Hero Certified Burgers,https://www.doordash.com/store/205306/?pickup=false,"$ • Burgers, Family Meals",28 min • 2.0 mi,4.0,"(1,200+)"
52,BarBurrito,https://www.doordash.com/store/566973/?pickup=false,"$$ • Mexican, Burritos",25 min • 1.9 mi,4.3,(530+)
53,Freshly Thai,https://www.doordash.com/store/2855908/?pickup=false,"$$ • Thai, Soup",25 min • 300 ft,4.7,(30)
54,KFC,https://www.doordash.com/store/973575/?pickup=false,"$ • Chicken, Sandwiches",19 min • 0.8 mi,4.3,(242)
55,Popeyes Louisiana Kitchen,https://www.doordash.com/store/399190/?pickup=false,"$$ • Fast Food, Chicken",21 min • 0.7 mi,3.8,(880+)
56,Trish Juice,https://www.doordash.com/store/205969/?pickup=false,"$$ • Juice Bar, Smoothies",28 min • 50 ft,4.0,(131)
57,Pizza Pizza,https://www.doordash.com/store/642880/?pickup=false,"$$ • Italian, Pizza",19 min • 0.7 mi,4.2,(143)
58,Royal Indian Sweets and Restaurant,https://www.doordash.com/store/1034606/?pickup=false,"$$ • Indian, Vegetarian",24 min • 1.2 mi,4.1,(69)
59,SeaSide Eats (Resolution Dr),https://www.doordash.com/store/995784/?pickup=false,"$$ • Poutineries, Tacos",27 min • 2.0 mi,4.4,(53)
