,restaurant,url,category,distance,star,num_reviews
108,Footo Croissant,https://www.doordash.com/store/98453/?pickup=false,"$ • Bakery, Sandwiches",16 min • 900 ft,4.7,(880+)
109,Honolulu Coffee,https://www.doordash.com/store/968654/?pickup=false,"$ • Coffee Shop, Pastries",17 min • 0.5 mi,4.5,(159)
110,Mr Greek Donair,https://www.doordash.com/store/868462/?pickup=false,"$$ • Middle Eastern, Salads",15 min • 0.5 mi,4.6,(280)
111,Sushi Maro Japanese Restaurant,https://www.doordash.com/store/445898/?pickup=false,"$$ • Japanese, Nigiri",24 min • 0.5 mi,4.6,"(1,000+)"
112,BREWHALL,https://www.doordash.com/store/923768/?pickup=false,"$$ • Alcohol, Burgers",24 min • 0.9 mi,4.7,(600+)
113,Los Amigos Taqueria,https://www.doordash.com/store/29058/?pickup=false,"$$ • Mexican, Tacos",21 min • 0.8 mi,4.4,"(1,700+)"
114,Best Falafel,https://www.doordash.com/store/447840/?pickup=false,"$$ • Syrian, Falafel",25 min • 1.7 mi,4.6,"(2,100+)"
115,Fat Mao Noodles,https://www.doordash.com/store/178728/?pickup=false,"$$ • Thai, Noodles",23 min • 0.7 mi,4.8,(860+)
116,Numero Uno Pizza,https://www.doordash.com/store/98672/?pickup=false,"$$ • Pizza, Sandwiches",19 min • 0.6 mi,4.3,(397)
117,Sing Sing Beer Bar (Pho Sho),https://www.doordash.com/store/999088/?pickup=false,"$$ • Pho, Vietnamese",27 min • 1.5 mi,4.6,(207)
118,Ramen Gojiro,https://www.doordash.com/store/98687/?pickup=false,"$$ • Japanese, Ramen",22 min • 800 ft,4.6,"(1,200+)"
119,Vegan Cave Cafe,https://www.doordash.com/store/454670/?pickup=false,"$$ • Pizza, Dessert",19 min • 0.3 mi,4.5,"(1,600+)"
120,Pokey Okey,https://www.doordash.com/store/1624930/?pickup=false,"$$ • Hawaiian, Poke",16 min • 0.5 mi,4.8,(416)
121,The Candy Room,https://www.doordash.com/store/433252/?pickup=false,"$$ • Chocolates, Snacks & Sweets",18 min • 0.7 mi,4.6,(345)
122,Uncle Fatih's Pizza,https://www.doordash.com/store/328192/?pickup=false,$ • Pizza,23 min • 0.3 mi,4.5,(730+)
123,Banter Room,https://www.doordash.com/store/964196/?pickup=false,"$$ • Canadian, Alcohol",20 min • 0.4 mi,4.7,(210)
124,Tacofino Gastown,https://www.doordash.com/store/28481/?pickup=false,"$$ • Mexican, Burritos",21 min • 0.5 mi,4.6,"(1,200+)"
125,YiFang Taiwan Fruit Tea 一芳,https://www.doordash.com/store/910392/?pickup=false,"$$ • Taiwanese, Tea Bar",23 min • 1.1 mi,4.7,(550+)
126,BIG G FRIED CHICKEN STEAKS,https://www.doordash.com/store/624700/?pickup=false,"$$ • Fried Chicken, Chicken",14 min • 600 ft,4.2,(137)
127,Nirvana Restaurant,https://www.doordash.com/store/98642/?pickup=false,"$$ • Indian, Vegetarian",27 min • 1.3 mi,4.4,(590+)
128,Vitasave.ca,https://www.doordash.com/store/531364/?pickup=false,"$$ • Fruit, Salads",15 min • 900 ft,4.6,(389)
129,PappaRoti,https://www.doordash.com/store/161728/?pickup=false,"$$ • Cafe, Pastries",15 min • 0.3 mi,4.6,(238)
130,Steve's Poké Bar,https://www.doordash.com/store/1061026/?pickup=false,"$$ • Hawaiian, Poke",25 min • 1.7 mi,4.7,(570+)
131,Daikichi Sushi Shop,https://www.doordash.com/store/42654/?pickup=false,"$ • Japanese, Sushi",19 min • 0.8 mi,4.4,"(1,000+)"
132,Italian Kitchen,https://www.doordash.com/store/28252/?pickup=false,"$$$ • Italian, Salads",20 min • 0.4 mi,4.3,"(1,500+)"
133,The Flying Pig,https://www.doordash.com/store/28750/?pickup=false,"$$ • Brunch, Salads",21 min • 0.5 mi,4.5,(403)
134,Pokerrito,https://www.doordash.com/store/358036/?pickup=false,"$$ • French Macarons, Miso Soup",15 min • 900 ft,4.7,(212)
135,Body Energy Club,https://www.doordash.com/store/951441/?pickup=false,"$$ • Healthy, Smoothies",17 min • 0.3 mi,4.7,(580+)
136,Roxy Burger,https://www.doordash.com/store/98389/?pickup=false,"$$ • Burgers, Salads",20 min • 0.3 mi,4.3,(493)
