,restaurant,url,category,distance,star,num_reviews
53,Blaze Pizza,https://www.doordash.com/store/23046663/?pickup=false,$$ • Pizza,24 min • 1.3 mi,4.8,(71)
54,Little Caesars Pizza,https://www.doordash.com/store/1160451/?pickup=false,"$$ • Italian, Pizza",19 min • 0.9 mi,4.4,(311)
55,Quickly Bubble Tea,https://www.doordash.com/store/2561505/?pickup=false,"$$ • Smoothies, Bubble Tea",29 min • 0.3 mi,4.5,(91)
56,Hoang Long Casual Fare,https://www.doordash.com/store/149803/?pickup=false,"$$ • Thai, Noodles",19 min • 0.6 mi,4.6,(77)
57,McDonald's,https://www.doordash.com/store/1140359/?pickup=false,"$$ • Bakery, Chicken",18 min • 0.2 mi,4.7,(137)
58,Splash Poke,https://www.doordash.com/store/150720/?pickup=false,"$$ • Japanese, Hawaiian",18 min • 0.6 mi,4.6,"(1,000+)"
59,Khazana,https://www.doordash.com/store/150192/?pickup=false,"$$ • Indian, Vegetarian",24 min • 0.4 mi,4.6,(201)
60,I Love Sushi,https://www.doordash.com/store/140856/?pickup=false,"$$ • Japanese, Sushi",21 min • 0.3 mi,4.6,(493)
61,Gong Cha 贡茶,https://www.doordash.com/store/172566/?pickup=false,"$$ • Chinese, Milk Tea",16 min • 600 ft,4.5,(720+)
62,Pho Boy,https://www.doordash.com/store/149844/?pickup=false,"$$ • Vietnamese, Pho",26 min • 1.9 mi,4.7,(570+)
63,Burger Baron,https://www.doordash.com/store/140838/?pickup=false,"$$ • Burgers, American",27 min • 2.2 mi,4.2,(476)
64,Lee House,https://www.doordash.com/store/173877/?pickup=false,"$$ • Korean, Barbecue",23 min • 0.5 mi,4.7,(980+)
65,Y-Not Indian,https://www.doordash.com/store/176720/?pickup=false,"$$ • Indian, Pizza",29 min • 1.9 mi,4.3,(680+)
66,Asian Flame,https://www.doordash.com/store/22985915/?pickup=false,"$$ • Biryani, Smoothies",28 min • 1.8 mi,4.3,(52)
67,Kim Chi Korean Delight,https://www.doordash.com/store/518034/?pickup=false,"$$ • Korean, Noodles",23 min • 1.2 mi,4.5,(466)
68,Basha Donair Shawarma,https://www.doordash.com/store/2374450/?pickup=false,"$$ • Mediterranean, Shawarma",19 min • 0.7 mi,4.5,(131)
69,Butterchick,https://www.doordash.com/store/2848582/?pickup=false,"$ • Street Food, Indian",15 min • 0.4 mi,3.9,(60)
70,World's Finest Donair,https://www.doordash.com/store/286291/?pickup=false,"$$ • Greek, Shawarma",24 min • 1.4 mi,4.2,(440)
71,O2's Taphouse & Grill,https://www.doordash.com/store/172542/?pickup=false,"$$ • Canadian, Pizza",28 min • 0.7 mi,4.2,(139)
72,The Alley,https://www.doordash.com/store/2298614/?pickup=false,"$$ • Milk Tea, Fruit Tea",27 min • 1.3 mi,4.7,(275)
73,SOHO,https://www.doordash.com/store/2699896/?pickup=false,"$$ • Pizza, Alcohol",25 min • 1.0 mi,4.7,(134)
74,Mareeg Cafe & restaurant,https://www.doordash.com/store/1340895/?pickup=false,"$$ • African, Chicken",26 min • 1.8 mi,4.1,(122)
75,Nhon Hoa Sandwich Bar,https://www.doordash.com/store/1333843/?pickup=false,"$$ • Vietnamese, Sandwiches",17 min • 0.4 mi,4.7,(131)
76,Fatburger,https://www.doordash.com/store/23287098/?pickup=false,"$$ • Fries, Salads",22 min • 1.0 mi,4.6,(17)
77,Phobulous Jimmy’s Kitchen,https://www.doordash.com/store/1173779/?pickup=false,"$$ • Pho, Vermicelli",29 min • 1.7 mi,4.6,(201)
78,Oil Lamp Unique Dining,https://www.doordash.com/store/150027/?pickup=false,"$$ • Mediterranean, Vegetarian",19 min • 0.4 mi,4.3,(41)
79,Zuhur Restaurant,https://www.doordash.com/store/728482/?pickup=false,"$$ • African, Breakfast",21 min • 0.6 mi,4.3,(123)
80,Copper Branch,https://www.doordash.com/store/567408/?pickup=false,"$$ • Vegan, Coffee & Tea",16 min • 0.3 mi,4.8,(359)
81,La Carraia Gelateria Cafe,https://www.doordash.com/store/800904/?pickup=false,"$$ • Café, Gelato",19 min • 0.6 mi,4.8,(46)
82,Spirit Bistro,https://www.doordash.com/store/1314065/?pickup=false,"$$ • Chinese, Noodles",19 min • 0.6 mi,4.4,(95)
83,MrBeast Burger,https://www.doordash.com/store/1683724/?pickup=false,"$ • Burgers, Sandwiches",21 min • 0.3 mi,4.4,(347)
84,Xu Hue,https://www.doordash.com/store/155444/?pickup=false,"$$ • Vietnamese, Noodles",20 min • 0.4 mi,4.3,(284)
85,AYCO BAKERY CAFE,https://www.doordash.com/store/23299467/?pickup=false,"$$ • Bakery, Cafe",17 min • 0.4 mi,5.0,
86,Guru,https://www.doordash.com/store/1245312/?pickup=false,"$$ • Indian, Vegetarian",18 min • 400 ft,4.6,(80)
87,Jimmy The Greek,https://www.doordash.com/store/149993/?pickup=false,"$$ • Greek, Salads",22 min • 1.2 mi,4.7,(316)
88,Papa Johns,https://www.doordash.com/store/1788773/?pickup=false,"$$ • Italian, Pizza",19 min • 0.4 mi,4.5,(275)
89,Filistix - Good Food,https://www.doordash.com/store/1346334/?pickup=false,"$$ • Filipino, Rice Bowl",17 min • 0.6 mi,4.7,(40)
90,Rickys All Day Grill,https://www.doordash.com/store/957514/?pickup=false,"$$ • Breakfast, Burgers",19 min • 0.6 mi,4.6,(226)
91,Gyu-Kaku Japanese BBQ,https://www.doordash.com/store/942926/?pickup=false,"$$ • Sauce, Dessert",19 min • 0.3 mi,4.5,(273)
92,Circle K,https://www.doordash.com/convenience/store/1731046/?pickup=false,"$$ • Breakfast, Ice Cream",17 min • 0.5 mi,4.1,(63)
93,Bubble T,https://www.doordash.com/store/150136/?pickup=false,"$ • Bubble Tea, Smoothies",21 min • 0.7 mi,4.5,(115)
94,Swagat India Bistro and Bar,https://www.doordash.com/store/397266/?pickup=false,"$$ • Indian, Vegetarian",30 min • 1.7 mi,4.4,(491)
95,Tang Bistro,https://www.doordash.com/store/150724/?pickup=false,"$$ • Noodles, Dumplings",30 min • 1.6 mi,4.7,(286)
96,Nosh Indian restaurant,https://www.doordash.com/store/814630/?pickup=false,"$$ • Indian, Vegetarian",25 min • 1.6 mi,4.6,(58)
97,Panago Pizza,https://www.doordash.com/store/1308723/?pickup=false,"$$ • Pizza, Salads",20 min • 0.7 mi,4.7,(201)
98,Riverview Liquor,https://www.doordash.com/store/22981622/?pickup=false,"$$ • Alcohol, Beer",20 min • 1.0 mi,4.5,(15)
99,Mia Pasta,https://www.doordash.com/store/1350938/?pickup=false,$ • Salad,23 min • 0.3 mi,4.3,(227)
100,Via Cibo,https://www.doordash.com/store/1693205/?pickup=false,"$ • Italian, Sandwiches",27 min • 0.4 mi,4.5,(136)
101,Vancia Donair and Shawarma,https://www.doordash.com/store/2249022/?pickup=false,"$$ • Burgers, Shawarma",21 min • 1.1 mi,4.5,(44)
102,CÔ CHÍN SAIGON,https://www.doordash.com/store/1584030/?pickup=false,"$$ • Fried Rice, Pho",21 min • 0.4 mi,4.5,(67)
103,Meetfresh,https://www.doordash.com/store/1099359/?pickup=false,"$$ • Pudding, Taiwanese",23 min • 0.9 mi,4.7,(77)
104,The Barbecue House,https://www.doordash.com/store/236502/?pickup=false,"$$ • Ribs, Chicken",25 min • 1.7 mi,4.6,(232)
105,Rexall,https://www.doordash.com/convenience/store/23156651/?pickup=false,"$$ • Medicine, Convenience",24 min • 0.5 mi,4.4,(26)
106,Cinnaholic,https://www.doordash.com/store/600528/?pickup=false,"$$ • Bakery, Pastries",18 min • 0.6 mi,4.7,(256)
107,Cupbap,https://www.doordash.com/store/1122675/?pickup=false,"$$ • Korean, Fried Chicken",19 min • 0.3 mi,4.7,(90)
108,Cinnzeo,https://www.doordash.com/store/900730/?pickup=false,"$$ • Italian, Smoothies",21 min • 1.3 mi,4.7,(50)
109,Monster Cupcakes By Ghost Kitchens,https://www.doordash.com/store/953625/?pickup=false,"$$ • Cupcakes, Milk Shakes",23 min • 1.2 mi,3.7,(108)
110,Wings & Things,https://www.doordash.com/store/763268/?pickup=false,"$ • American, Fast Food",21 min • 0.3 mi,4.4,(167)
111,Pom Grand Persian Grill,https://www.doordash.com/store/534469/?pickup=false,"$$ • Mediterranean, Kebabs",28 min • 2.0 mi,4.5,(186)
112,Cinnabon By Ghost Kitchens,https://www.doordash.com/store/653191/?pickup=false,"$ • Poutineries, Bubble Tea",24 min • 1.2 mi,4.0,(337)
113,Phoenix Diner,https://www.doordash.com/store/2866548/?pickup=false,"$$ • American, Breakfast",19 min • 0.5 mi,4.9,(11)
114,My Tea,https://www.doordash.com/store/172602/?pickup=false,"$$ • Bubble Tea, Smoothies",23 min • 1.9 mi,4.5,(200)
115,Second Cup,https://www.doordash.com/store/2276812/?pickup=false,"$$ • Bakery, Espresso",21 min • 1.1 mi,4.4,(85)
116,The Cheesecake Factory Bakery by Ghost Kitchens,https://www.doordash.com/store/1007222/?pickup=false,"$$ • Bakery, Cheesecake",24 min • 1.2 mi,4.0,(229)
117,G&R Liquor Mart,https://www.doordash.com/convenience/store/23019224/?pickup=false,"$$ • Alcohol, Beer",22 min • 0.7 mi,5.0,
118,Pizza Hut,https://www.doordash.com/store/1558226/?pickup=false,"$$ • Pizza, Italian",24 min • 1.0 mi,4.4,(159)
119,lets grill sushi & izakaya,https://www.doordash.com/store/228805/?pickup=false,"$$ • Japanese, Sushi",27 min • 0.5 mi,4.3,(152)
120,Westmount Liquor Hub,https://www.doordash.com/convenience/store/22980996/?pickup=false,"$$ • Beer, Wine",26 min • 1.7 mi,5.0,(11)
121,The Sherlock Holmes Pub,https://www.doordash.com/store/149918/?pickup=false,"$$ • Pubs, Gluten-Free",22 min • 0.3 mi,3.8,(40)
122,Hing Lung,https://www.doordash.com/store/865840/?pickup=false,"$$ • Barbecue, Pork",25 min • 0.4 mi,4.6,(54)
123,Subway,https://www.doordash.com/store/166286/?pickup=false,"$$ • Build Your Own, Cookies",12 min • 300 ft,4.5,(12)
124,Sahaba Restaurant,https://www.doordash.com/store/1379466/?pickup=false,"$$ • Halal, Steak",26 min • 0.5 mi,4.2,(48)
