,restaurant,url,category,distance,star,num_reviews
70,Jelly Modern Doughnuts,https://www.doordash.com/store/100117/?pickup=false,"$$ • Dessert, Donuts",17 min • 0.9 mi,4.7,(500+)
71,Gogi Korean Kitchen,https://www.doordash.com/store/1656408/?pickup=false,"$$ • Korean, Barbecue",17 min • 0.6 mi,4.7,(530+)
72,Shawarma Ave,https://www.doordash.com/store/185630/?pickup=false,"$$ • Dessert, Wraps",20 min • 0.8 mi,4.6,"(1,400+)"
73,Big Cheese Poutinerie,https://www.doordash.com/store/93143/?pickup=false,"$$ • Poutineries, Chicken",19 min • 0.8 mi,4.6,(880+)
74,Ola Poke,https://www.doordash.com/store/194640/?pickup=false,"$$ • Poke, Burritos",15 min • 0.6 mi,4.8,(600+)
75,Rosso Coffee Roasters,https://www.doordash.com/store/567179/?pickup=false,"$$ • Coffee Shop, Breakfast",23 min • 1.2 mi,4.7,(436)
76,Regrub Burger Bar,https://www.doordash.com/store/728822/?pickup=false,"$ • American, Burgers",18 min • 0.6 mi,4.5,(900+)
77,Sso yummy,https://www.doordash.com/store/951754/?pickup=false,"$$ • Korean, Seafood",17 min • 0.5 mi,4.8,(470)
78,YiFang Taiwan Fruit Tea 一芳,https://www.doordash.com/store/751132/?pickup=false,"$$ • Taiwanese, Tea Bar",18 min • 0.6 mi,4.8,(830+)
79,Little Caesars Pizza,https://www.doordash.com/store/23117226/?pickup=false,"$$ • Italian, Pizza",24 min • 1.7 mi,4.6,(89)
80,Saucy Burger,https://www.doordash.com/store/1876390/?pickup=false,"$$ • American, Breakfast",19 min • 1.0 mi,4.3,(177)
81,Denny's,https://www.doordash.com/store/1868796/?pickup=false,"$$ • American, Breakfast",26 min • 1.2 mi,4.4,(426)
82,Freshii,https://www.doordash.com/store/90853/?pickup=false,"$$ • Tacos, Burritos",20 min • 1.3 mi,4.4,"(1,100+)"
83,K Town Fried Chicken,https://www.doordash.com/store/1486054/?pickup=false,"$$ • Comfort Food, Fried Chicken",24 min • 1.1 mi,4.7,(850+)
84,Ollia Macarons & Tea,https://www.doordash.com/store/384376/?pickup=false,"$$ • Bakery, Sweets",18 min • 0.9 mi,4.8,(670+)
85,Saltlik,https://www.doordash.com/store/100305/?pickup=false,"$$ • Alcohol, Beer",30 min • 300 ft,4.6,(940+)
86,Ramen Taka Calgary,https://www.doordash.com/store/23287753/?pickup=false,"$$ • Japanese, Ramen",17 min • 0.9 mi,4.4,(24)
87,Mirchi,https://www.doordash.com/store/99548/?pickup=false,"$$ • Curry, Tandoori",24 min • 0.8 mi,4.4,(580+)
88,Pie Junkie,https://www.doordash.com/store/316682/?pickup=false,"$$ • Pie, Soup",21 min • 1.2 mi,4.7,(560+)
89,Tsujiri Calgary,https://www.doordash.com/store/1010416/?pickup=false,"$$ • Pastries, Japanese",23 min • 1.5 mi,4.7,(242)
90,Greta Bar,https://www.doordash.com/store/972082/?pickup=false,"$$ • Alcohol, Chicken",18 min • 900 ft,4.4,(360)
91,King Of Donair,https://www.doordash.com/store/1299520/?pickup=false,"$$ • Canadian, Pizza",18 min • 0.6 mi,4.2,(428)
