,restaurant,url,category,distance,star,num_reviews
66,Chez Hailar,https://www.doordash.com/store/714908/?pickup=false,"$$ • Sandwiches, Pizza",0.2 mi • 27 min,4.4,(550+)
67,Restaurant Sesame Atwater,https://www.doordash.com/store/630111/?pickup=false,"$$ • Asian Fusion, Poke",1.3 mi • 27 min,4.5,(690+)
68,Dirty Dogs,https://www.doordash.com/store/763985/?pickup=false,"$$ • Poutineries, Burgers",500 ft • 18 min,4.5,(366)
69,ÔFour,https://www.doordash.com/store/23150104/?pickup=false,"$$ • Steak, Sandwiches",0.8 mi • 23 min,4.6,(60)
70,Jano Grillades (poulet portugais),https://www.doordash.com/store/748293/?pickup=false,"$$ • Portuguese, Alcohol",1.2 mi • 27 min,4.6,(630+)
71,Chung Chun Kogo Coreen,https://www.doordash.com/store/1274627/?pickup=false,"$$ • Korean, Hot Dogs",0.3 mi • 15 min,4.5,(369)
72,La Cantina,https://www.doordash.com/store/800782/?pickup=false,"$$ • Mexican, Tacos",0.2 mi • 16 min,4.5,(163)
73,TSUJIRI Montreal,https://www.doordash.com/store/887531/?pickup=false,"$$ • Japanese, Cakes",900 ft • 16 min,4.8,(235)
74,Medusa Restaurant,https://www.doordash.com/store/748219/?pickup=false,"$$ • Italian, Pizza",0.3 mi • 17 min,4.6,(60)
75,Quesada Burritos & Tacos,https://www.doordash.com/store/779219/?pickup=false,"$ • Mexican, Tacos",1.3 mi • 29 min,4.2,"(2,100+)"
76,Wok To Go,https://www.doordash.com/store/714880/?pickup=false,"$$ • Chinese, Chicken",0.7 mi • 18 min,4.4,(258)
77,Brigade Neapolitan Pizza,https://www.doordash.com/store/629839/?pickup=false,"$$ • Pizza, Sandwiches",0.2 mi • 20 min,4.4,(443)
78,Shuyi Tealicious,https://www.doordash.com/store/2642616/?pickup=false,"$$ • Chinese, Milk Tea",0.3 mi • 17 min,4.6,(115)
79,Ben & Jerry's,https://www.doordash.com/store/714267/?pickup=false,"$$ • Ice Cream, Milk Shakes",0.5 mi • 18 min,4.6,(40)
80,Restaurant Végo,https://www.doordash.com/store/1119920/?pickup=false,"$$ • Sandwiches, Salads",1.4 mi • 26 min,4.6,(168)
81,Ichifuku,https://www.doordash.com/store/629690/?pickup=false,"$$ • Japanese, Noodles",0.4 mi • 17 min,4.5,(377)
82,Cafe Cantina,https://www.doordash.com/store/818057/?pickup=false,"$$ • Mexican, Burritos",1.4 mi • 25 min,4.6,(304)
83,Restaurant La capital,https://www.doordash.com/store/898482/?pickup=false,"$$ • Mexican, Quesadillas",1.1 mi • 27 min,4.5,(271)
84,Vago,https://www.doordash.com/store/630201/?pickup=false,"$$ • Italian, Seafood",1.0 mi • 18 min,4.5,(113)
85,Rockaberry,https://www.doordash.com/store/714740/?pickup=false,"$$ • Pie, Alcohol",0.8 mi • 24 min,4.7,(960+)
86,Felix &Norton,https://www.doordash.com/store/1050541/?pickup=false,"$$ • Dessert, Ice Cream",1.2 mi • 28 min,4.6,(282)
87,Koa Lua,https://www.doordash.com/store/714448/?pickup=false,"$$ • Hawaiian, Poke",0.2 mi • 19 min,4.8,(168)
88,Tejano BBQ Burrito (Vieux Montréal),https://www.doordash.com/store/1046542/?pickup=false,"$$ • Mexican, Burritos",1.0 mi • 25 min,4.6,(335)
89,Abrakababra,https://www.doordash.com/store/1715204/?pickup=false,"$$ • Mediterranean, Lebanese",1.4 mi • 29 min,4.6,(462)
90,Restaurant Burger Bros,https://www.doordash.com/store/927969/?pickup=false,"$$ • Burgers, Dessert",1.2 mi • 30 min,4.6,(810+)
91,Shawarma Habibi,https://www.doordash.com/store/783266/?pickup=false,"$ • Mediterranean, Lebanese",1.6 mi • 25 min,4.5,(510+)
92,Sansalizza,https://www.doordash.com/store/757334/?pickup=false,"$ • Pizza, Sandwiches",0.8 mi • 21 min,3.7,(75)
93,PhoBo,https://www.doordash.com/store/2357824/?pickup=false,"$$ • Soup, Salads",0.2 mi • 16 min,4.5,(120)
94,Monteiro Grillades Portugaises,https://www.doordash.com/store/639578/?pickup=false,"$$ • Portuguese, Chicken",2.0 mi • 30 min,4.2,(990+)
95,Star Of India Restaurant,https://www.doordash.com/store/630262/?pickup=false,"$$ • Indian, Chicken",0.4 mi • 20 min,4.5,(110)
96,La Maison Du Bulgogi,https://www.doordash.com/store/802823/?pickup=false,"$$ • Soup, Noodles",0.5 mi • 21 min,4.5,(970+)
97,Provision Cote des Neiges,https://www.doordash.com/convenience/store/1374852/?pickup=false,"$$ • Everyday Essentials, Convenience",0.2 mi • 18 min,4.6,(136)
98,DonDonYa,https://www.doordash.com/store/2441437/?pickup=false,"$$ • Japanese, Soup",800 ft • 16 min,4.6,(70)
99,Okane Sushi Bar,https://www.doordash.com/store/714591/?pickup=false,"$$ • Japanese, Sushi",0.8 mi • 27 min,4.7,(249)
100,Ho Lee Chix,https://www.doordash.com/store/911634/?pickup=false,"$$ • Fast Food, Chicken",1.1 mi • 24 min,4.2,(351)
101,Singh's Indian Cuisine (Boul Saint Laurent),https://www.doordash.com/store/1004859/?pickup=false,"$$ • Indian, Chicken",1.1 mi • 30 min,4.3,(323)
