,restaurant,url,category,distance,star,num_reviews
70,Royal Variety Snack,https://www.doordash.com/convenience/store/1346521/?pickup=false,"$$ • Roast Beef Sandwhich, Breakfast",0.5 mi • 16 min,4.7,(36)
71,New King Shawarma Plus,https://www.doordash.com/store/299252/?pickup=false,"$$ • Shawarma, Middle Eastern",0.4 mi • 22 min,4.7,(89)
72,Panago Pizza,https://www.doordash.com/store/916408/?pickup=false,"$ • Pizza, Salads",1.1 mi • 28 min,4.6,(255)
73,Slater Street Market,https://www.doordash.com/convenience/store/970122/?pickup=false,"$$ • Ice Cream, Convenience",0.4 mi • 23 min,4.5,(33)
74,Jadeland Restaurant 翠林菜馆,https://www.doordash.com/store/1346724/?pickup=false,"$$ • Chinese, Seafood",0.8 mi • 18 min,4.6,(62)
75,Afghani Kabob Express,https://www.doordash.com/store/884613/?pickup=false,"$$ • Afghan, Chicken",0.5 mi • 25 min,4.6,(196)
76,Foreign & Domestic,https://www.doordash.com/store/2431653/?pickup=false,"$$ • Beer, Wine & Spirits",1.4 mi • 25 min,4.8,(41)
77,New Pho Bo Ga LA,https://www.doordash.com/store/291648/?pickup=false,"$$ • Vietnamese, Pho",1.0 mi • 26 min,4.4,(395)
78,Yi Fang,https://www.doordash.com/store/2834168/?pickup=false,"$$ • Taiwanese, Fruit Tea",0.5 mi • 20 min,4.2,(39)
79,Green Papaya Merivale,https://www.doordash.com/store/518595/?pickup=false,"$$ • Thai, Noodles",1.4 mi • 22 min,4.6,(70)
80,Wonuts,https://www.doordash.com/store/2625771/?pickup=false,"$$ • Cafe, Milk Shakes",1.6 mi • 29 min,4.1,(40)
81,3 Brasseurs,https://www.doordash.com/store/299067/?pickup=false,"$$ • Poutineries, Pizza",0.2 mi • 27 min,4.3,(84)
82,Genji Japanese Restaurant,https://www.doordash.com/store/299147/?pickup=false,"$$ • Japanese, Sushi",0.4 mi • 24 min,4.4,(168)
83,The Alley Ottawa,https://www.doordash.com/store/2254090/?pickup=false,"$$ • Dessert, Fruit Tea",0.4 mi • 24 min,4.6,(57)
84,Wix Mart,https://www.doordash.com/store/1346368/?pickup=false,"$$ • Candy, Snacks",0.5 mi • 17 min,4.0,
85,Snacktown Ottawa,https://www.doordash.com/store/2560445/?pickup=false,"$$ • Chocolates, Grocery",0.7 mi • 22 min,4.4,(19)
86,Real Fruit Bubble Tea,https://www.doordash.com/store/939501/?pickup=false,"$$ • Juice Bars & Smoothies, Bubble Tea",0.4 mi • 17 min,4.7,(58)
87,Shafali,https://www.doordash.com/store/299175/?pickup=false,"$$ • Cafe, Indian",0.6 mi • 21 min,4.4,(24)
88,Gong Cha 贡茶,https://www.doordash.com/store/2448475/?pickup=false,"$$ • Chinese, Milk Tea",1.6 mi • 26 min,4.7,(130)
