,restaurant,url,category,distance,star,num_reviews
145,Viena Do Castelo Portuguese Restaurant,https://www.doordash.com/store/874483/?pickup=false,"$$ • Portuguese, Takeout",1.4 mi • Closed,4.7,(199)
146,Robin's Donuts,https://www.doordash.com/store/1201907/?pickup=false,"$$ • Breakfast, Donuts",200 ft • Closed,4.2,(101)
147,"Cafeaze International, Coffees, Cookies & More",https://www.doordash.com/store/1662036/?pickup=false,"$$ • Coffee, Sandwiches",0.5 mi • Closed,4.9,(27)
148,Cheers Restaurant,https://www.doordash.com/store/1491628/?pickup=false,"$$ • Sandwiches, Burgers",0.9 mi • Closed,4.6,(92)
149,PVG Street Eats,https://www.doordash.com/store/2273150/?pickup=false,"$$ • Fast Food, Burgers",0.6 mi • Closed,4.6,(49)
150,Basils Restaurant,https://www.doordash.com/store/2555745/?pickup=false,"$$ • Lebanese, Sandwiches",800 ft • Closed,5.0,(10)
151,Hawaii Kai,https://www.doordash.com/store/568156/?pickup=false,"$$ • Bubble Tea, Juice Bar",400 ft • Closed,4.7,(232)
152,Kay's Delicatessen,https://www.doordash.com/store/341665/?pickup=false,"$$ • Cafe, Milk Tea",0.6 mi • Closed,4.8,(17)
153,IBEX Ethiopian Restaurant,https://www.doordash.com/store/874458/?pickup=false,"$$ • Ethiopian, Vegetarian",0.9 mi • Closed,3.8,(15)
154,Peg City Poutinerie,https://www.doordash.com/store/857847/?pickup=false,"$$ • Poutineries, Fries",400 ft • Closed,4.3,(36)
155,Pizza Boyz,https://www.doordash.com/store/2624743/?pickup=false,"$$ • Salads, Chicken",0.7 mi • Closed,4.2,(10)
156,Eddy's Place,https://www.doordash.com/store/582067/?pickup=false,"$$ • Breakfast, Sandwiches",1.9 mi • Closed,4.5,(86)
157,Rexall,https://www.doordash.com/convenience/store/23156708/?pickup=false,"$$ • Medicine, Convenience",400 ft • Closed,5.0,
158,7 Arabian Dreams,https://www.doordash.com/store/1250706/?pickup=false,"$$ • Middle Eastern, Chicken",1.6 mi • Closed,3.3,(10)
159,Frogurts (The Forks),https://www.doordash.com/store/1291256/?pickup=false,$$ • Ice Cream & Frozen Yogurt,0.6 mi • Closed,5.0,(34)
160,Joa Croffle,https://www.doordash.com/store/2558296/?pickup=false,"$$ • Bakery, Waffles",0.3 mi • Closed,5.0,
161,Pitza Witza,https://www.doordash.com/store/23173747/?pickup=false,$$ • Pizza,0.9 mi • Closed,4.2,
162,Neon Cone,https://www.doordash.com/store/1289575/?pickup=false,"$$ • Ice Cream, Cakes",0.6 mi • Closed,5.0,
163,Lisbon Bakery,https://www.doordash.com/store/611720/?pickup=false,$$ • Bakery,1.1 mi • Closed,2.6,
164,The Chilli Brasserie,https://www.doordash.com/store/23079325/?pickup=false,"$$ • Seafood, Nigerian",0.7 mi • Closed,,
165,Mesob Ethiopian Eats,https://www.doordash.com/store/2603665/?pickup=false,"$ • Ethiopian, Snacks",1.0 mi • Closed,4.6,(13)
166,Beavertails,https://www.doordash.com/store/2615525/?pickup=false,$$ • Pastries,0.6 mi • Closed,4.7,(63)
167,Cibo Waterfront Cafe,https://www.doordash.com/store/341558/?pickup=false,"$$ • Mediterranean, Italian",0.6 mi • Closed,4.5,(428)
168,4 Sisters Restaurant (Higgins),https://www.doordash.com/store/550461/?pickup=false,"$$ • Breakfast, Snacks",1.0 mi • Closed,4.6,(65)
169,Marcello's MB Hydro Place,https://www.doordash.com/store/577017/?pickup=false,"$$ • Breakfast, Pizza",0.2 mi • Closed,5.0,
170,Izakaya Edokko,https://www.doordash.com/store/864586/?pickup=false,"$$ • Sushi Bars, Japanese",500 ft • Closed,4.8,(89)
171,Fuel Functional Foods,https://www.doordash.com/store/593298/?pickup=false,"$$ • Sweets, Smoothies",1.2 mi • Closed,4.7,(550+)
172,Nathan Detroit’s Sandwich Pad,https://www.doordash.com/store/341588/?pickup=false,"$$ • Breakfast, Sandwiches",0.4 mi • Closed,4.5,(36)
173,Kyu Bistro,https://www.doordash.com/store/576331/?pickup=false,"$$ • Japanese, Ramen",0.8 mi • Closed,4.6,"(1,500+)"
174,The Banh Mi Snack Bar,https://www.doordash.com/store/730901/?pickup=false,"$$ • Asian Fusion, Rice Bowl",0.7 mi • Closed,4.0,(39)
175,Mercy Me! Nashville Chicken,https://www.doordash.com/store/593143/?pickup=false,$$ • Chicken,1.2 mi • Closed,4.5,(780+)
